Location,Date,Y,X
ROT,19/04/2017,51.824511010000002,-0.376789277000000
ROT,19/04/2017,51.809142170000001,-0.379767735000000
ROT,19/04/2017,51.807550319999997,-0.381962765000000
ROT,19/04/2017,51.810157840000002,-0.377055873000000
ROT,19/04/2017,51.806935160000002,-0.356414045000000
ROT,19/04/2017,51.811326450000003,-0.379697533000000
ROT,19/04/2017,51.810201370000001,-0.378205534000000
ROT,19/04/2017,51.813692340000003,-0.403433711000000
ROT,19/04/2017,51.803591390000001,-0.365332278000000
ROT,19/04/2017,51.807192190000002,-0.387327954000000
ROT,19/04/2017,51.810588699999997,-0.384531144000000
ROT,19/04/2017,51.810063610000000,-0.377504308000000
ROT,19/04/2017,51.810548079999997,-0.380383123000000
ROT,19/04/2017,51.816339090000000,-0.376488084000000
ROT,19/04/2017,51.822553470000003,-0.371534265000000
ROT,19/04/2017,51.810905669999997,-0.382324213000000
ROT,19/04/2017,51.814667710000002,-0.376173495000000
ROT,19/04/2017,51.809709179999999,-0.383014882000000
ROT,19/04/2017,51.808526970000003,-0.384683312000000
ROT,19/04/2017,51.809990110000001,-0.380298824000000
ROT,19/04/2017,51.808680129999999,-0.377849036000000
ROT,19/04/2017,51.810103150000003,-0.364942439000000
ROT,19/04/2017,51.815873420000003,-0.383086571000000
ROT,19/04/2017,51.810682139999997,-0.382593309000000
ROT,19/04/2017,51.805883260000002,-0.385544767000000
ROT,19/04/2017,51.806652499999998,-0.388091618000000
ROT,19/04/2017,51.817982999999998,-0.383676552000000
ROT,19/04/2017,51.810705460000001,-0.380363743000000
ROT,19/04/2017,51.810104899999999,-0.377184489000000
ROT,19/04/2017,51.803941610000003,-0.367123259000000
ROT,05/05/2017,51.815437869999997,-0.376465348000000
ROT,05/05/2017,51.817520000000002,-0.377831893000000
ROT,05/05/2017,51.803691489999999,-0.390086919000000
ROT,05/05/2017,51.815528810000004,-0.373921631000000
ROT,05/05/2017,51.814956279999997,-0.373099394000000
ROT,05/05/2017,51.803550880000003,-0.387947993000000
ROT,05/05/2017,51.816100900000002,-0.375378286000000
ROT,05/05/2017,51.815297399999999,-0.371094568000000
ROT,05/05/2017,51.803593700000000,-0.385532028000000
ROT,05/05/2017,51.815921910000000,-0.376405450000000
ROT,05/05/2017,51.805601570000000,-0.394380718000000
ROT,05/05/2017,51.802674560000000,-0.389153061000000
ROT,05/05/2017,51.814720800000003,-0.374479006000000
ROT,05/05/2017,51.815293230000002,-0.388418486000000
ROT,05/05/2017,51.813193130000002,-0.385135623000000
ROT,05/05/2017,51.803911460000002,-0.391912633000000
ROT,05/05/2017,51.814912730000003,-0.373383935000000
ROT,05/05/2017,51.817528600000003,-0.374512483000000
ROT,05/05/2017,51.818415070000000,-0.376342763000000
ROT,05/05/2017,51.815840719999997,-0.375909747000000
ROT,16/05/2017,51.813491259999999,-0.380959605000000
ROT,16/05/2017,51.815370129999998,-0.376551733000000
ROT,16/05/2017,51.813201630000002,-0.379610249000000
ROT,16/05/2017,51.814465869999999,-0.378219696000000
ROT,16/05/2017,51.814166649999997,-0.382532821000000
ROT,16/05/2017,51.814070790000002,-0.375299926000000
ROT,23/06/2017,51.814455619999997,-0.389441030000000
ROT,23/06/2017,51.813970470000001,-0.393033450000000
ROT,23/06/2017,51.803293410000002,-0.393513971000000
ROT,23/06/2017,51.815463180000002,-0.397038343000000
ROT,23/06/2017,51.805784320000001,-0.371594559000000
ROT,23/06/2017,51.815124400000002,-0.390592139000000
ROT,23/06/2017,51.803281900000002,-0.369701524000000
ROT,23/06/2017,51.807318559999999,-0.389803499000000
ROT,23/06/2017,51.801528869999999,-0.400691689000000
ROT,23/06/2017,51.812127680000003,-0.392546519000000
ROT,23/06/2017,51.812069139999998,-0.389352480000000
ROT,23/06/2017,51.811301680000000,-0.388312589000000
ROT,23/06/2017,51.815262920000002,-0.388536688000000
ROT,23/06/2017,51.813930120000002,-0.384257694000000
ROT,23/06/2017,51.806383680000003,-0.394939249000000
ROT,23/06/2017,51.814769910000003,-0.387768658000000
ROT,23/06/2017,51.815689890000002,-0.389886859000000
ROT,23/06/2017,51.807092939999997,-0.407257498000000
ROT,23/06/2017,51.806794820000000,-0.391440361000000
ROT,23/06/2017,51.806079990000001,-0.385312607000000
ROT,04/07/2017,51.815689220000003,-0.388534872000000
ROT,04/07/2017,51.817759780000003,-0.368420826000000
ROT,04/07/2017,51.815670920000002,-0.364349752000000
ROT,04/07/2017,51.816702839999998,-0.365461472000000
ROT,04/07/2017,51.816065850000001,-0.366666832000000
ROT,04/07/2017,51.816779179999997,-0.372675273000000
ROT,04/07/2017,51.814059620000002,-0.368455253000000
ROT,04/07/2017,51.815354450000001,-0.372101720000000
ROT,04/07/2017,51.815485289999998,-0.382658260000000
ROT,04/07/2017,51.813638859999998,-0.387567328000000
ROT,04/07/2017,51.815524850000003,-0.371121356000000
ROT,04/07/2017,51.818062720000000,-0.365084333000000
ROT,04/07/2017,51.811421799999998,-0.415042409000000
ROT,04/07/2017,51.815941119999998,-0.366468051000000
ROT,04/07/2017,51.805542789999997,-0.415260521000000
ROT,04/07/2017,51.815606389999999,-0.374015799000000
ROT,04/07/2017,51.817399840000000,-0.372440096000000
ROT,04/07/2017,51.818354300000003,-0.372946420000000
ROT,04/07/2017,51.813283230000003,-0.372330059000000
ROT,04/07/2017,51.816561319999998,-0.371181390000000
ROT,04/07/2017,51.816572510000000,-0.367208023000000
ROT,04/07/2017,51.815141740000001,-0.367322944000000
ROT,25/07/2017,51.826782600000001,-0.375378824000000
