Location,Date,Y,X
ZSL,03/04/2017,51.535838990000002,-0.131563721000000
ZSL,03/04/2017,51.534897839999999,-0.157116634000000
ZSL,03/04/2017,51.534646350000003,-0.153143935000000
ZSL,03/04/2017,51.531500489999999,-0.156385009000000
ZSL,03/04/2017,51.535052929999999,-0.158068203000000
ZSL,03/04/2017,51.540201490000001,-0.135899252000000
ZSL,03/04/2017,51.534294529999997,-0.153065058000000
ZSL,03/04/2017,51.539759730000000,-0.150148623000000
ZSL,03/04/2017,51.531798430000002,-0.157676676000000
ZSL,03/04/2017,51.533892510000001,-0.148272505000000
ZSL,03/04/2017,51.538102279999997,-0.141384959000000
ZSL,03/04/2017,51.533818949999997,-0.144014660000000
ZSL,03/04/2017,51.532143670000004,-0.151160865000000
ZSL,03/04/2017,51.538516850000001,-0.149385183000000
ZSL,03/04/2017,51.535811670000001,-0.147105097000000
ZSL,03/04/2017,51.528688480000000,-0.158797179000000
ZSL,03/04/2017,51.529375360000003,-0.158666158000000
ZSL,03/04/2017,51.533582709999997,-0.150995567000000
ZSL,03/04/2017,51.538716209999997,-0.140730714000000
ZSL,03/04/2017,51.532660149999998,-0.149458839000000
ZSL,03/04/2017,51.531622859999999,-0.153084953000000
ZSL,03/04/2017,51.541267159999997,-0.137545892000000
ZSL,03/04/2017,51.539582230000001,-0.142005537000000
ZSL,03/04/2017,51.535999969999999,-0.157786031000000
ZSL,03/04/2017,51.530119800000001,-0.158654507000000
ZSL,18/04/2017,51.532814119999998,-0.151888672000000
ZSL,18/04/2017,51.534045970000001,-0.151722736000000
ZSL,18/04/2017,51.530978660000002,-0.150756565000000
ZSL,18/04/2017,51.532511409999998,-0.145988838000000
ZSL,18/04/2017,51.532262359999997,-0.152048817000000
ZSL,18/04/2017,51.532131479999997,-0.152302149000000
ZSL,18/04/2017,51.531827749999998,-0.150071736000000
ZSL,18/04/2017,51.532973089999999,-0.150807729000000
ZSL,18/04/2017,51.533095289999999,-0.151635099000000
ZSL,18/04/2017,51.534331709999996,-0.151787202000000
ZSL,18/04/2017,51.533662569999997,-0.151605132000000
ZSL,18/04/2017,51.533277490000003,-0.142788406000000
ZSL,18/04/2017,51.532180040000000,-0.147707602000000
ZSL,18/04/2017,51.532361270000003,-0.142568458000000
ZSL,18/04/2017,51.532809489999998,-0.145426054000000
ZSL,18/04/2017,51.533138100000002,-0.148244316000000
ZSL,18/04/2017,51.533326170000002,-0.147310273000000
ZSL,18/04/2017,51.532237090000002,-0.142143919000000
ZSL,18/04/2017,51.532621149999997,-0.151363142000000
ZSL,18/04/2017,51.532978190000001,-0.140851570000000
ZSL,18/04/2017,51.533181390000003,-0.143007501000000
ZSL,18/04/2017,51.533677689999998,-0.145573813000000
ZSL,18/04/2017,51.533688840000003,-0.150065079000000
ZSL,18/04/2017,51.533495559999999,-0.148428855000000
ZSL,18/04/2017,51.533619999999999,-0.149762621000000
ZSL,02/05/2017,51.532736819999997,-0.150898093000000
ZSL,02/05/2017,51.534197820000003,-0.151880142000000
ZSL,02/05/2017,51.536062399999999,-0.151920407000000
ZSL,02/05/2017,51.535642690000003,-0.152160023000000
ZSL,02/05/2017,51.534848709999999,-0.144345585000000
ZSL,02/05/2017,51.533919370000000,-0.151841472000000
ZSL,02/05/2017,51.533329270000003,-0.150965645000000
ZSL,02/05/2017,51.532474790000002,-0.148676560000000
ZSL,02/05/2017,51.532952829999999,-0.147718886000000
ZSL,02/05/2017,51.535627009999999,-0.153228846000000
ZSL,02/05/2017,51.534651040000000,-0.145981773000000
ZSL,02/05/2017,51.534075080000001,-0.151276739000000
ZSL,02/05/2017,51.533016259999997,-0.139964297000000
ZSL,02/05/2017,51.533729180000002,-0.155389941000000
ZSL,02/05/2017,51.534858200000002,-0.138746559000000
ZSL,02/05/2017,51.533298930000001,-0.151907285000000
ZSL,02/05/2017,51.533382830000001,-0.151077241000000
ZSL,02/05/2017,51.533498119999997,-0.151267314000000
ZSL,02/05/2017,51.538013429999999,-0.143156041000000
ZSL,02/05/2017,51.533552129999997,-0.151379766000000
ZSL,02/05/2017,51.536455199999999,-0.151007785000000
ZSL,02/05/2017,51.531918910000002,-0.150498029000000
ZSL,02/05/2017,51.533768600000002,-0.140437768000000
ZSL,02/05/2017,51.534658139999998,-0.144043918000000
ZSL,02/05/2017,51.533755339999999,-0.142997753000000
ZSL,02/05/2017,51.536815990000001,-0.152375818000000
ZSL,02/05/2017,51.533602780000002,-0.142510988000000
ZSL,02/05/2017,51.535489460000001,-0.152458719000000
ZSL,02/05/2017,51.536164479999997,-0.150842537000000
ZSL,02/05/2017,51.535906339999997,-0.142467866000000
ZSL,17/05/2017,51.539311800000000,-0.143158492000000
ZSL,17/05/2017,51.538816009999998,-0.144103720000000
ZSL,17/05/2017,51.539530460000002,-0.143373092000000
ZSL,17/05/2017,51.539680830000002,-0.141756143000000
ZSL,17/05/2017,51.538718039999999,-0.143737629000000
ZSL,17/05/2017,51.539434610000001,-0.141792044000000
ZSL,17/05/2017,51.539261920000001,-0.140698369000000
ZSL,17/05/2017,51.540649459999997,-0.140091998000000
ZSL,17/05/2017,51.530380370000003,-0.129706909000000
ZSL,17/05/2017,51.539740350000002,-0.140520420000000
ZSL,17/05/2017,51.538462780000003,-0.145302716000000
ZSL,17/05/2017,51.539489809999999,-0.138022111000000
ZSL,17/05/2017,51.539079909999998,-0.141773644000000
ZSL,17/05/2017,51.538033230000003,-0.143752106000000
ZSL,17/05/2017,51.539663290000000,-0.140012747000000
ZSL,17/05/2017,51.540158079999998,-0.132164287000000
