Location,Date,Destination_Longitude,Destination_Latitude,Hive_Latitude,Hive_Longitude,Distance_km
ROT,2017-04-19,51.82451101,-0.37678927700000003,-0.377314803,51.81004975,1.6090453851256747
ROT,2017-04-19,51.80914217,-0.379767735,-0.377314803,51.81004975,0.2908239672923077
ROT,2017-04-19,51.80755032,-0.381962765,-0.377314803,51.81004975,0.5868145860212601
ROT,2017-04-19,51.81015784,-0.377055873,-0.377314803,51.81004975,0.031199577855966294
ROT,2017-04-19,51.80693516,-0.356414045,-0.377314803,51.81004975,2.349719975089377
ROT,2017-04-19,51.81132645,-0.379697533,-0.377314803,51.81004975,0.30058220323445184
ROT,2017-04-19,51.81020137,-0.378205534,-0.377314803,51.81004975,0.10046935986211425
ROT,2017-04-19,51.81369234,-0.40343371100000003,-0.377314803,51.81004975,2.9323963797453385
ROT,2017-04-19,51.80359139,-0.36533227799999995,-0.377314803,51.81004975,1.5135976897671182
ROT,2017-04-19,51.80719219,-0.387327954,-0.377314803,51.81004975,1.1578616094488952
ROT,2017-04-19,51.8105887,-0.384531144,-0.377314803,51.81004975,0.8046551677149401
ROT,2017-04-19,51.81006361,-0.37750430799999996,-0.377314803,51.81004975,0.021128275641822514
ROT,2017-04-19,51.81054808,-0.380383123,-0.377314803,51.81004975,0.3456518852357817
ROT,2017-04-19,51.81633909,-0.376488084,-0.377314803,51.81004975,0.7053436143663335
ROT,2017-04-19,51.82255347,-0.371534265,-0.377314803,51.81004975,1.5317114531906706
ROT,2017-04-19,51.81090567,-0.38232421299999997,-0.377314803,51.81004975,0.5650929607308717
ROT,2017-04-19,51.81466771,-0.376173495,-0.377314803,51.81004975,0.5289328481277744
ROT,2017-04-19,51.80970918,-0.38301488200000006,-0.377314803,51.81004975,0.6349501323756976
ROT,2017-04-19,51.80852697,-0.38468331200000005,-0.377314803,51.81004975,0.8366535737104489
ROT,2017-04-19,51.80999011,-0.380298824,-0.377314803,51.81004975,0.33187425842744256
ROT,2017-04-19,51.80868013,-0.377849036,-0.377314803,51.81004975,0.1634672217388863
ROT,2017-04-19,51.81010315,-0.364942439,-0.377314803,51.81004975,1.3757569208048719
ROT,2017-04-19,51.81587342,-0.38308657100000004,-0.377314803,51.81004975,0.911709877027972
ROT,2017-04-19,51.81068214,-0.382593309,-0.377314803,51.81004975,0.5911401443855585
ROT,2017-04-19,51.80588326,-0.385544767,-0.377314803,51.81004975,1.0257162552200743
ROT,2017-04-19,51.8066525,-0.38809161799999997,-0.377314803,51.81004975,1.2564560970972847
ROT,2017-04-19,51.817983,-0.383676552,-0.377314803,51.81004975,1.1307246389271053
ROT,2017-04-19,51.81070546,-0.380363743,-0.377314803,51.81004975,0.34677795294780084
ROT,2017-04-19,51.8101049,-0.377184489,-0.377314803,51.81004975,0.015734427583323392
ROT,2017-04-19,51.80394161,-0.367123259,-0.377314803,51.81004975,1.3211874448583323
ROT,2017-05-05,51.81543787,-0.376465348,-0.377314803,51.81004975,0.6065186851283625
ROT,2017-05-05,51.81752,-0.377831893,-0.377314803,51.81004975,0.8326235251747746
ROT,2017-05-05,51.80369149,-0.390086919,-0.377314803,51.81004975,1.58643873095984
ROT,2017-05-05,51.81552881,-0.37392163100000003,-0.377314803,51.81004975,0.7166029882178885
ROT,2017-05-05,51.81495628,-0.373099394,-0.377314803,51.81004975,0.7192745684541829
ROT,2017-05-05,51.80355088,-0.387947993,-0.377314803,51.81004975,1.3856965119330507
ROT,2017-05-05,51.8161009,-0.375378286,-0.377314803,51.81004975,0.7064592230430279
ROT,2017-05-05,51.8152974,-0.37109456799999996,-0.377314803,51.81004975,0.9049107030469522
ROT,2017-05-05,51.8035937,-0.38553202799999997,-0.377314803,51.81004975,1.1619817753754142
ROT,2017-05-05,51.81592191,-0.37640545,-0.377314803,51.81004975,0.6607233433584445
ROT,2017-05-05,51.80560157,-0.39438071799999996,-0.377314803,51.81004975,1.9610411871134559
ROT,2017-05-05,51.80267456,-0.389153061,-0.377314803,51.81004975,1.5509015640503057
ROT,2017-05-05,51.8147208,-0.374479006,-0.377314803,51.81004975,0.607611992892374
ROT,2017-05-05,51.81529323,-0.388418486,-0.377314803,51.81004975,1.3654113585108734
ROT,2017-05-05,51.81319313,-0.385135623,-0.377314803,51.81004975,0.9372461063167262
ROT,2017-05-05,51.80391146,-0.39191263299999995,-0.377314803,51.81004975,1.7608640781443978
ROT,2017-05-05,51.81491273,-0.373383935,-0.377314803,51.81004975,0.6952954194046126
ROT,2017-05-05,51.8175286,-0.37451248299999995,-0.377314803,51.81004975,0.8880555304047791
ROT,2017-05-05,51.81841507,-0.37634276299999997,-0.377314803,51.81004975,0.9364198308867556
ROT,2017-05-05,51.81584072,-0.375909747,-0.377314803,51.81004975,0.6625955090564852
ROT,2017-05-16,51.81349126,-0.380959605,-0.377314803,51.81004975,0.5573967110038247
ROT,2017-05-16,51.81537013,-0.37655173299999994,-0.377314803,51.81004975,0.5976403446382559
ROT,2017-05-16,51.81320163,-0.379610249,-0.377314803,51.81004975,0.43356021857966365
ROT,2017-05-16,51.81446587,-0.378219696,-0.377314803,51.81004975,0.5012424994820536
ROT,2017-05-16,51.81416665,-0.382532821,-0.377314803,51.81004975,0.7390559923419441
ROT,2017-05-16,51.81407079,-0.375299926,-0.377314803,51.81004975,0.5001027466053456
ROT,2017-06-23,51.81445562,-0.38944103,-0.377314803,51.81004975,1.4346136673727123
ROT,2017-06-23,51.81397047,-0.39303345,-0.377314803,51.81004975,1.8013825696323098
